_r;_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
deg;deg;deg; ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg
--------;--------------;--------------;------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------
2.856466;053.5304564049;+24.3444485904; 16639;03 34 07.30;+24 20 40.4; 9.54;053.53040401;+24.34455483;   8.11;   19.64;  -43.71;  1.47; 0.510; ;053.53045640;+24.34444859
2.871081;057.0441252852;+21.3290683594; 17763;03 48 10.59;+21 19 44.8; 7.97;057.04414295;+21.32910229;  11.94;   -6.77;  -13.96;  1.31; 0.231; ;057.04412529;+21.32906836
2.874966;055.5999867040;+21.4734910650; 17316;03 42 23.98;+21 28 25.0; 9.85;055.59992368;+21.47360744;   6.28;   24.13;  -47.88;  1.66; 0.550; ;055.59998670;+21.47349106
2.883037;058.2473036621;+26.6785403285; 18163;03 52 59.28;+26 40 43.8; 8.00;058.24701277;+26.67883936;  11.45;  106.94; -123.03;  1.10; 0.644; ;058.24730366;+26.67854033
2.883741;053.8820648976;+22.8235884539; 16753;03 35 31.68;+22 49 25.3; 9.86;053.88200182;+22.82369569;   9.98;   23.92;  -44.12;  1.58; 0.540; ;053.88206490;+22.82358845
2.888017;057.2508384339;+21.3421867640; 17837;03 49 00.21;+21 20 31.9; 8.11;057.25086920;+21.34218533;  10.02;  -11.79;    0.59;  1.37; 0.528; ;057.25083843;+21.34218676
2.891421;054.8050114701;+21.8432516689; 17043;03 39 13.19;+21 50 36.1; 7.27;054.80495415;+21.84335278;   7.78;   21.89;  -41.60;  0.98; 0.068; ;054.80501147;+21.84325167
2.892310;059.7643248106;+23.6280967929; 18620;03 59 03.44;+23 37 41.1; 7.36;059.76434171;+23.62809497;   7.56;   -6.37;    0.75;  1.09; 1.067; ;059.76432481;+23.62809679
2.899637;059.2169858484;+22.4779711335; 18471;03 56 52.03;+22 28 41.7; 5.62;059.21680322;+22.47825021;  22.31;   69.43; -114.82;  0.92; 0.345; ;059.21698585;+22.47797113
2.942212;056.3832801506;+21.2466927040; 17552;03 45 31.98;+21 14 48.5; 7.75;056.38323055;+21.24680852;  11.21;   19.02;  -47.65;  1.09; 0.179; ;056.38328015;+21.24669270
2.951329;053.5075354759;+24.8809084646; 16635;03 34 01.79;+24 52 51.6;10.87;053.50747380;+24.88101310;   9.62;   23.02;  -43.05;  2.18; 0.704; ;053.50753548;+24.88090846
2.997300;053.5841944770;+23.1501048094; 16659;03 34 20.21;+23 09 00.4; 9.76;053.58420550;+23.15012474;   4.22;   -4.17;   -8.20;  1.68; 1.150; ;053.58419448;+23.15010481

