Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
20,1.618772,08 45 15.1408040,12 25 19.624353,42945,08 45 15.14,12 25 19.7,9.47,131.3131008,12.42212631,-0.29,-5.66,-3.47,1.76,0.915,,131.3130867,12.42211788
21,1.666004,08 57 40.8971337,12 27 24.980758,44008,08 57 40.91,12 27 24.9,9.04,134.4204412,12.45692928,4.27,-14.65,4.04,1.34,1.412,,134.4204047,12.4569391
22,1.721849,08 53 08.7119075,10 08 51.962141,43631,08 53 08.71,10 08 52.1,8.62,133.2862964,10.14779339,1.54,1.31,-10.75,1.38,0.864,,133.2862996,10.14776726
23,1.728819,08 46 24.4913530,10 35 31.316901,43074,08 46 24.51,10 35 31.6,7.34,131.6021179,10.59211516,9.87,-28.53,-34.02,1.01,0.515,,131.6020473,10.59203247
24,1.736544,08 58 29.2216856,11 51 27.723453,44066,08 58 29.20,11 51 28.0,4.26,134.6216541,11.85777198,18.79,41.45,-29.22,0.99,0.141,,134.621757,11.85770096
25,1.754349,08 57 06.2019752,10 45 29.456088,43951,08 57 06.22,10 45 29.7,8.48,134.27592,10.75824391,4.35,-31.72,-25.37,2.4,0.341,,134.2758416,10.75818225
26,1.873794,08 57 51.2516101,10 48 51.516738,44018,08 57 51.25,10 48 51.5,8.02,134.4635538,10.81430758,4.98,-2.18,1.08,1.16,0.054,,134.4635484,10.8143102
27,1.930971,08 54 46.1144061,13 33 41.211082,43755,08 54 46.14,13 33 41.3,8.95,133.6922479,13.56148595,4.88,-41.8,-15.81,1.17,0.486,,133.6921434,13.56144752
28,1.944352,08 58 15.9989069,10 50 42.671055,44050,08 58 16.01,10 50 43.0,7.66,134.5667069,10.84526513,2.94,-18.11,-32.39,1.11,1.242,,134.5666621,10.8451864
29,1.956187,08 43 43.8463936,11 15 44.299245,42839,08 43 43.85,11 15 44.3,8.44,130.932718,11.2623017,4.9,-9.98,1.5,1,0.134,,130.9326933,11.26230535
30,1.959018,08 45 59.2605176,13 15 48.620473,43018,08 45 59.29,13 15 49.6,8.7,131.4970233,13.26377893,0.34,-41.83,-112.42,1.46,0.042,,131.4969188,13.26350569
31,2.021682,08 59 38.4779324,11 55 54.528166,44160,08 59 38.49,11 55 54.6,8.68,134.9103544,11.93184189,2.11,-11.94,-11.73,1.14,0.373,,134.9103247,11.93181338
32,2.096642,08 53 45.7389265,13 49 49.450340,43666,08 53 45.76,13 49 49.5,7.06,133.4406585,13.8304194,7.97,-31.8,-6.8,0.93,0.189,,133.4405789,13.83040287
33,2.175577,08 49 46.0183090,13 57 15.177797,43343,08 49 46.02,13 57 15.3,9.32,132.4417518,13.95424877,6.08,-3.52,-13.46,1.64,0.304,,132.441743,13.95421605
34,2.177551,08 58 57.1250984,12 58 11.702431,44102,08 58 57.13,12 58 11.7,8.85,134.7380441,12.96992196,4.03,-9.18,-1.9,1.3,0.993,,134.7380212,12.96991734
35,2.17931,08 43 12.3292648,12 40 51.153255,42795,08 43 12.34,12 40 51.1,5.62,130.8013968,12.6808708,3.17,-9.98,2.1,0.91,0.435,,130.8013719,12.6808759
36,2.278767,08 46 02.9095084,09 57 05.694452,43027,08 46 02.91,09 57 05.8,7.71,131.51212,9.95161565,3.61,1.18,-13.93,0.9,1.345,,131.512123,9.95158179
37,2.335434,08 59 26.8820064,13 04 27.806511,44148,08 59 26.89,13 04 27.9,6.49,134.8620529,13.07440776,2.52,-17.85,-7.02,0.84,1.462,,134.8620084,13.0743907
38,2.379287,08 44 45.0365927,10 04 54.013053,42917,08 44 45.04,10 04 54.2,5.63,131.1876859,10.08171256,8,-13.55,-17.39,0.84,-0.069,P,131.1876525,10.08167029
39,2.399052,08 41 41.6943690,12 10 45.779651,42661,08 41 41.70,12 10 45.7,10.16,130.423739,12.17937191,7.84,-5,4.66,6.44,0.497,,130.4237265,12.17938324
