Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
25,0.996108,03 44 51.2368692,23 16 08.121495,17497,03 44 51.22,23 16 08.5,8.98,56.21342687,23.26902878,9.76,22.71,-43.67,1.29,0.403,,56.21348696,23.26892264
26,1.045089,03 51 03.1138562,23 54 13.156313,18018,03 51 03.02,23 54 13.6,10.17,57.76257314,23.90376782,24.72,150.93,-46.61,4.62,1.16,,57.7629744,23.90365453
27,1.047762,03 45 48.8154165,23 08 49.735588,17572,03 45 48.80,23 08 50.1,6.85,56.4533419,23.14725691,9.68,21.06,-44.49,1.03,0.06,,56.45339757,23.14714877
28,1.11956,03 43 43.1969293,25 04 50.553211,17403,03 43 43.18,25 04 51.0,7.52,55.92992873,25.08083909,10.01,21.79,-53.43,1.06,0.141,,55.92998721,25.08070923
29,1.149477,03 51 27.2146432,24 31 07.142448,18050,03 51 27.20,24 31 07.5,8.86,57.86334041,24.51876093,7.56,20.19,-45.36,1.47,0.38,,57.86339435,24.51865068
30,1.229467,03 45 59.1388149,25 23 54.922568,17583,03 45 59.13,25 23 55.3,8.04,56.49636093,25.39870238,8.5,18.88,-46.4,1.17,0.213,,56.49641173,25.3985896
31,1.235491,03 47 46.8352730,25 23 08.499561,17729,03 47 46.82,25 23 08.9,8.32,56.94509494,25.38580834,7.61,19.34,-46.91,1.17,0.262,,56.94514697,25.38569432
32,1.267477,03 47 22.8971286,22 55 19.637684,17694,03 47 22.88,22 55 20.0,8.17,56.84535261,22.92223144,9.87,19.74,-45.2,1.19,0.255,,56.8454047,22.92212158
33,1.385381,03 41 22.9679739,23 29 12.978016,17225,03 41 22.95,23 29 13.4,9.17,55.34564029,23.48704606,9.21,22.49,-44.32,1.45,0.437,,55.34569989,23.48693834
34,1.46742,03 51 25.2942293,25 09 46.545367,18046,03 51 25.30,25 09 46.6,6.79,57.85541671,25.16295722,4.76,-8.97,-11.5,0.83,0.16,,57.85539262,25.16292927
35,1.47448,03 48 54.7100700,22 47 57.146089,17828,03 48 54.71,22 47 57.2,8.12,57.22794154,22.79922132,5.27,6.48,-5.79,1.14,0.05,,57.22795862,22.79920725
36,1.522325,03 52 53.4768901,24 42 56.626191,18154,03 52 53.47,24 42 57.0,9.44,58.22277909,24.71584089,8.57,15.43,-45.83,1.57,0.48,,58.22282038,24.7157295
37,1.601646,03 52 11.3977521,25 09 47.084268,18106,03 52 11.48,25 09 48.5,6.77,58.04781699,25.16347704,25.34,-121.53,-163.78,0.89,0.583,,58.04749063,25.16307896
38,1.631477,03 50 18.9383172,25 34 45.702969,17954,03 50 18.91,25 34 46.7,5.24,57.57881165,25.57964862,16.96,36.37,-117.95,0.82,0.231,,57.57890965,25.57936194
39,1.665954,03 46 34.8293669,25 50 37.891371,17625,03 46 34.82,25 50 38.3,8.72,56.64506816,25.84397069,4.73,20.07,-46.07,1.48,0.355,,56.64512236,25.84385871
40,1.682526,03 42 04.7228263,22 51 30.830627,17289,03 42 04.71,22 51 31.2,9.17,55.51962648,22.85866532,7.29,19.7,-41.66,1.5,0.463,,55.51967844,22.85856406
41,1.688798,03 48 41.8910723,25 48 02.672948,17812,03 48 41.89,25 48 02.7,8.44,57.17455013,25.80075493,2.54,-1.48,-5.12,1.2,0.11,,57.17454613,25.80074249
42,1.712321,03 39 13.4730914,24 27 59.476882,17044,03 39 13.46,24 27 59.9,10.4,54.80608394,24.46663095,8.85,20.2,-45.09,2.11,0.616,,54.80613788,24.46652136
43,1.71441,03 42 15.9191772,22 47 11.243339,17305,03 42 15.91,22 47 11.9,7.4,55.56627304,22.78663999,18.79,21.57,-75.5,1.05,0.428,,55.56632991,22.78645648
